row_no,level,issue_code,message,sd_product_code,master_type,raw_value
704,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21703AT,,
705,warning,image_missing,No source image URLs found in 画像1〜3.,HYIG21704AT,,
705,warning,sd_product_code_validation,"Maker legacy code IG is shared by ['IGNIO', 'IRON_GRIP'].",HYIG21704AT,,
706,warning,image_missing,No source image URLs found in 画像1〜3.,SASN21705AT,,
707,warning,image_missing,No source image URLs found in 画像1〜3.,SANTAT706AT,,
707,warning,sd_product_code_validation,Legacy purchase year code AT is accepted for existing data.,SANTAT706AT,,
708,warning,image_missing,No source image URLs found in 画像1〜3.,SAKSAT707AT,,
708,warning,sd_product_code_validation,Legacy purchase year code AT is accepted for existing data.,SAKSAT707AT,,
709,warning,maker_unregistered,maker is empty.,SAOTAT708AT,maker,
709,warning,image_missing,No source image URLs found in 画像1〜3.,SAOTAT708AT,,
709,warning,sd_product_code_validation,"Legacy purchase year code AT is accepted for existing data. | Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOTAT708AT,,
710,warning,image_missing,No source image URLs found in 画像1〜3.,SASNAT709AT,,
710,warning,sd_product_code_validation,Legacy purchase year code AT is accepted for existing data.,SASNAT709AT,,
711,warning,image_missing,No source image URLs found in 画像1〜3.,SASNAT710AT,,
711,warning,sd_product_code_validation,Legacy purchase year code AT is accepted for existing data.,SASNAT710AT,,
712,warning,maker_unregistered,maker is empty.,SAOTAT711AT,maker,
712,warning,image_missing,No source image URLs found in 画像1〜3.,SAOTAT711AT,,
712,warning,sd_product_code_validation,"Legacy purchase year code AT is accepted for existing data. | Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOTAT711AT,,
713,warning,maker_unregistered,maker is empty.,SAOTAT712AT,maker,
713,warning,image_missing,No source image URLs found in 画像1〜3.,SAOTAT712AT,,
713,warning,sd_product_code_validation,"Legacy purchase year code AT is accepted for existing data. | Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOTAT712AT,,
714,warning,image_missing,No source image URLs found in 画像1〜3.,SAKSAT713AT,,
714,warning,sd_product_code_validation,Legacy purchase year code AT is accepted for existing data.,SAKSAT713AT,,
715,warning,image_missing,No source image URLs found in 画像1〜3.,SANT21714AT,,
716,warning,image_missing,No source image URLs found in 画像1〜3.,SANT21715AT,,
717,warning,image_missing,No source image URLs found in 画像1〜3.,SANT21716AT,,
718,warning,image_missing,No source image URLs found in 画像1〜3.,HYPM21717AT,,
719,warning,image_missing,No source image URLs found in 画像1〜3.,SATG21718AT,,
720,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21719AT,,
721,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22720AT,,
722,warning,image_missing,No source image URLs found in 画像1〜3.,SANT22721AT,,
723,warning,image_missing,No source image URLs found in 画像1〜3.,SANT22722AT,,
724,warning,image_missing,No source image URLs found in 画像1〜3.,SADF22723AT,,
725,warning,image_missing,No source image URLs found in 画像1〜3.,SANT22724AT,,
726,warning,image_missing,No source image URLs found in 画像1〜3.,MITS22725AT,,
727,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22726AT,,
728,warning,image_missing,No source image URLs found in 画像1〜3.,SANT22727AT,,
729,warning,image_missing,No source image URLs found in 画像1〜3.,SAMX22728AT,,
730,warning,image_missing,No source image URLs found in 画像1〜3.,SASN22729AT,,
731,warning,image_missing,No source image URLs found in 画像1〜3.,SASN22730AT,,
732,warning,image_missing,No source image URLs found in 画像1〜3.,SASN22731AT,,
733,warning,image_missing,No source image URLs found in 画像1〜3.,SASN22732AT,,
734,warning,maker_unregistered,maker is empty.,HYOT22733AT,maker,
734,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22733AT,,
734,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22733AT,,
735,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22734AT,,
736,warning,image_missing,No source image URLs found in 画像1〜3.,SATG22735AT,,
737,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV22736AT,,
738,warning,maker_unregistered,maker is empty.,HYOT22737AT,maker,
738,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22737AT,,
738,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22737AT,,
739,warning,image_missing,No source image URLs found in 画像1〜3.,HYCY22738AT,,
740,warning,image_missing,No source image URLs found in 画像1〜3.,HYTS22739AT,,
741,warning,maker_unregistered,maker is empty.,HYOT22740AT,maker,
741,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22740AT,,
741,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22740AT,,
742,warning,image_missing,No source image URLs found in 画像1〜3.,MIHZ22741AT,,
743,warning,maker_unregistered,maker is empty.,HYOT22742AT,maker,
743,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22742AT,,
743,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22742AT,,
744,warning,image_missing,No source image URLs found in 画像1〜3.,MIIV22743AT,,
745,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22744AT,,
746,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG22745AT,,
747,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22746AT,,
748,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22747AT,,
749,warning,image_missing,No source image URLs found in 画像1〜3.,SAST22748AT,,
750,warning,maker_unregistered,maker is empty.,SAOT22749AT,maker,
750,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT22749AT,,
750,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT22749AT,,
751,warning,image_missing,No source image URLs found in 画像1〜3.,SASN22750AT,,
752,warning,maker_unregistered,maker is empty.,SAOT22751AT,maker,
752,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT22751AT,,
752,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT22751AT,,
753,warning,image_missing,No source image URLs found in 画像1〜3.,SACY22752AT,,
754,warning,image_missing,No source image URLs found in 画像1〜3.,SATC22753AT,,
755,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22754AT,,
756,warning,maker_unregistered,maker is empty.,HYOT22755AT,maker,
756,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22755AT,,
756,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22755AT,,
757,warning,image_missing,No source image URLs found in 画像1〜3.,SAMG22756AT,,
758,warning,maker_unregistered,maker is empty.,SAOT22757AT,maker,
758,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT22757AT,,
758,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT22757AT,,
759,warning,image_missing,No source image URLs found in 画像1〜3.,HYBm22758AT,,
759,warning,sd_product_code_validation,"Maker legacy code BM is shared by ['BODY_MAKER', 'BODY_MASTERS'].",HYBm22758AT,,
760,warning,maker_unregistered,maker is empty.,SAOT22759AT,maker,
760,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT22759AT,,
760,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT22759AT,,
761,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT22760AT,,
762,warning,image_missing,No source image URLs found in 画像1〜3.,MIYY22761AT,,
763,warning,image_missing,No source image URLs found in 画像1〜3.,HYBm22762AT,,
763,warning,sd_product_code_validation,"Maker legacy code BM is shared by ['BODY_MAKER', 'BODY_MASTERS'].",HYBm22762AT,,
764,warning,maker_unregistered,maker is empty.,HYOT22763AT,maker,
764,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT22763AT,,
764,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT22763AT,,
765,warning,maker_unregistered,maker is empty.,MIOT22764AT,maker,
765,warning,image_missing,No source image URLs found in 画像1〜3.,MIOT22764AT,,
